nm percentage
300.0 0.0
300.8008008008008 0.0
301.6016016016016 0.0
302.4024024024024 0.0
303.2032032032032 0.0
304.004004004004 0.0
304.8048048048048 0.0
305.6056056056056 0.0
306.4064064064064 0.0
307.2072072072072 0.0
308.008008008008 0.0
308.8088088088088 0.0
309.6096096096096 0.0
310.4104104104104 0.0
311.2112112112112 0.0
312.012012012012 0.0
312.8128128128128 0.0
313.6136136136136 0.0
314.4144144144144 0.0
315.2152152152152 0.0
316.016016016016 0.0
316.8168168168168 0.0
317.6176176176176 0.0
318.4184184184184 0.0
319.2192192192192 0.0
320.02002002002 0.0
320.8208208208208 0.0
321.6216216216216 0.0
322.4224224224224 0.0
323.2232232232232 0.0
324.024024024024 0.0
324.8248248248248 0.0
325.6256256256256 0.0
326.4264264264264 0.0
327.2272272272272 0.0
328.028028028028 0.0
328.8288288288288 0.0
329.6296296296296 0.0
330.4304304304304 0.0
331.2312312312312 0.0
332.032032032032 0.0
332.8328328328328 0.0
333.6336336336336 0.0
334.4344344344344 0.0
335.2352352352352 0.0
336.036036036036 0.0
336.8368368368368 0.0
337.6376376376376 0.0
338.4384384384384 0.0
339.2392392392392 0.0
340.04004004004 0.0
340.8408408408408 0.0
341.6416416416416 0.0
342.4424424424424 0.0
343.2432432432432 0.0
344.044044044044 0.0
344.84484484484483 0.0
345.64564564564563 0.0
346.44644644644643 0.0
347.24724724724723 0.0
348.04804804804803 0.0
348.84884884884883 0.0
349.64964964964963 0.0
350.45045045045043 -6.144813958936928e-05
351.25125125125123 -4.4379936910194605e-05
352.05205205205203 -4.753258533937776e-05
352.85285285285283 -5.558223143485335e-05
353.65365365365363 -4.178932070321524e-05
354.45445445445444 -2.776588657923166e-05
355.25525525525524 -2.467672182348363e-05
356.05605605605604 -3.812505027720016e-05
356.85685685685684 -6.277862340718244e-05
357.65765765765764 -4.3247522297268573e-05
358.45845845845844 -4.411237630568289e-05
359.25925925925924 -4.787619003071602e-05
360.0600600600601 -1.3910035275498235e-05
360.86086086086084 -9.183790966395624e-05
361.6616616616617 -5.632356825650273e-05
362.46246246246244 -3.019054286690676e-05
363.2632632632633 -3.2676867223168254e-05
364.06406406406404 -4.0864749072206885e-05
364.8648648648649 -5.2151538811585887e-05
365.66566566566564 -8.196260247978245e-05
366.4664664664665 -7.975728340851175e-05
367.26726726726724 -6.258770893931433e-05
368.0680680680681 -7.053580011228398e-05
368.86886886886884 -8.434711495861756e-05
369.6696696696697 -7.356961592251702e-05
370.47047047047045 -8.399987469034189e-05
371.2712712712713 -8.21688969857519e-05
372.07207207207205 -2.617917649474348e-05
372.8728728728729 -6.543228453355506e-05
373.67367367367365 -6.216532420624108e-05
374.4744744744745 -3.4761947970378344e-05
375.27527527527525 -3.318434515815227e-05
376.0760760760761 -9.870413924119546e-05
376.87687687687685 -0.00010012014071054574
377.6776776776777 -7.421469812461152e-05
378.47847847847845 -5.521337634732309e-05
379.2792792792793 -6.517951995341619e-05
380.08008008008005 -0.00011323992674331795
380.8808808808809 -0.0001476561738100668
381.68168168168165 -2.0502456015517754e-05
382.4824824824825 3.2705583086519672e-06
383.28328328328325 -3.0261674077222768e-05
384.0840840840841 -8.982214921271785e-06
384.88488488488485 -5.8931058353680905e-05
385.6856856856857 -3.110252196701219e-05
386.4864864864865 0.00010810788455913105
387.2872872872873 0.0006564585320238247
388.0880880880881 0.0023371753258517045
388.8888888888889 0.008160004905683547
389.6896896896897 0.0241167838606535
390.4904904904905 0.04943980085600738
391.2912912912913 0.08021037848671335
392.0920920920921 0.11146751444404455
392.8928928928929 0.1400082966603389
393.6936936936937 0.17259120480038231
394.4944944944945 0.21438663591602972
395.2952952952953 0.269384142005891
396.0960960960961 0.3409247873994559
396.8968968968969 0.4340738206114935
397.6976976976977 0.5476278826429896
398.4984984984985 0.6765148996362217
399.2992992992993 0.8197108980719471
400.1001001001001 0.9768873936421434
400.9009009009009 1.1567514058819572
401.7017017017017 1.3887630537364426
402.5025025025025 1.6924200697634608
403.3033033033033 2.0927342139018803
404.1041041041041 2.6170097510104418
404.9049049049049 3.323843864679421
405.7057057057057 4.229772043214893
406.5065065065065 5.302866547984683
407.3073073073073 6.527232803140833
408.1081081081081 7.899897445289626
408.9089089089089 9.47375375259994
409.7097097097097 11.415496831356926
410.5105105105105 13.87485981243709
411.31131131131133 17.020020484342812
412.11211211211213 20.999129594065476
412.91291291291293 26.066473440836187
413.71371371371373 31.97548819636275
414.51451451451453 37.97571120413795
415.31531531531533 43.5149529975159
416.11611611611613 48.14163264364948
416.91691691691693 51.42261782528704
417.71771771771773 53.61151588628029
418.51851851851853 55.381424436947015
419.31931931931933 57.04320600965305
420.12012012012013 58.79910951806618
420.92092092092093 60.78172520287265
421.72172172172174 62.86191319622349
422.52252252252254 64.87314860775906
423.32332332332334 66.74854775119697
424.12412412412414 68.39616470388412
424.92492492492494 69.70300665910798
425.72572572572574 70.47175000702687
426.52652652652654 71.07516194582504
427.32732732732734 71.5489896536622
428.12812812812814 71.91704827459363
428.92892892892894 72.17634825182854
429.72972972972974 72.31020255072461
430.53053053053054 72.34530672982811
431.33133133133134 72.30183291611023
432.13213213213214 72.21316218747761
432.93293293293294 72.14150119507092
433.73373373373374 72.15440512822845
434.53453453453454 72.31106079848301
435.33533533533534 72.63008086138171
436.13613613613614 73.11168066822749
436.93693693693695 73.74551626239719
437.73773773773775 74.43744775225514
438.53853853853855 75.08866968450137
439.33933933933935 75.65078504717204
440.14014014014015 76.07824227095355
440.94094094094095 76.31304979344375
441.74174174174175 76.37162965345532
442.54254254254255 76.36090762589174
443.34334334334335 76.32577213552395
444.14414414414415 76.31287926812873
444.94494494494495 76.38966769334118
445.74574574574575 76.59551865157293
446.54654654654655 76.88035078797215
447.34734734734735 77.23554273821739
448.14814814814815 77.62718943992414
448.94894894894895 77.9732225711929
449.74974974974975 78.24250203112454
450.55055055055055 78.34788325207035
451.35135135135135 78.270371133132
452.15215215215215 78.14293422119489
452.95295295295296 78.00867683240195
453.75375375375376 77.89788125754193
454.55455455455456 77.8517585533407
455.35535535535536 77.87210053895029
456.15615615615616 77.95447722705299
456.95695695695696 78.0942480301219
457.75775775775776 78.27334235526979
458.55855855855856 78.45120147424538
459.35935935935936 78.61242812788966
460.16016016016016 78.74404627480942
460.96096096096096 78.83074837384632
461.76176176176176 78.89713243104669
462.56256256256256 78.94936589484126
463.36336336336336 78.99964710001262
464.16416416416416 79.05401315067148
464.96496496496496 79.10736696716937
465.76576576576576 79.16645124904264
466.56656656656656 79.19539092782784
467.36736736736736 79.19399938616475
468.16816816816817 79.15561186968688
468.96896896896897 79.0568485476505
469.76976976976977 78.92530355690432
470.57057057057057 78.78622631545181
471.3713713713714 78.66277445094433
472.17217217217217 78.58074532726381
472.972972972973 78.57340293205624
473.77377377377377 78.66561364503922
474.5745745745746 78.84634180685875
475.37537537537537 79.07631432072688
476.1761761761762 79.36575551356185
476.97697697697697 79.69020145745543
477.7777777777778 79.98678194046009
478.5785785785786 80.20304095940716
479.37937937937943 80.3177145293586
480.1801801801802 80.31694854270644
480.98098098098103 80.1904136339882
481.7817817817818 79.93604963587062
482.58258258258263 79.62653064837598
483.3833833833834 79.30552092836126
484.18418418418423 79.01114892276533
484.984984984985 78.77678111338126
485.78578578578583 78.68004112934838
486.5865865865866 78.70317541048543
487.38738738738743 78.83936748484237
488.1881881881882 79.07957200036056
488.98898898898904 79.38317226439212
489.7897897897898 79.69344846347967
490.59059059059064 79.94682790478699
491.3913913913914 80.11109137086075
492.19219219219224 80.16340385814688
492.992992992993 80.08921307410043
493.79379379379384 79.84737797710336
494.5945945945946 79.52833609370505
495.39539539539544 79.17347544761436
496.1961961961962 78.82166482440195
496.99699699699704 78.50944647982219
497.7977977977978 78.302535679982
498.59859859859864 78.2262904838373
499.3993993993994 78.27698879410848
500.20020020020024 78.453201044475
