A normalised
5546.55 0.185938
5554.55 0.135481
5562.56 0.0957197
5570.57 0.0660388
5578.58 0.0461749
5586.59 0.0323682
5594.59 0.0226791
5602.6 0.0160649
5610.61 0.0116379
5618.62 0.00880931
5626.63 0.006762
5634.63 0.00525203
5642.64 0.0041486
5650.65 0.00333806
5658.66 0.00275576
5666.67 0.00229915
5674.67 0.00192733
5682.68 0.00162256
5690.69 0.00137042
5698.7 0.0011572
5706.71 0.00097131
5714.71 0.000808423
5722.72 0.000667358
5730.73 0.000546571
5738.74 0.000444438
5746.75 0.000365454
5754.75 0.000300438
5762.76 0.000247195
5770.77 0.000204829
5778.78 0.000172547
5786.79 0.000147494
5794.79 0.000126648
5802.8 0.00010973
5810.81 9.66796e-05
5818.82 8.53049e-05
5826.83 7.80547e-05
5834.83 7.1187e-05
5842.84 6.46897e-05
5850.85 5.9263e-05
5858.86 5.39339e-05
5866.87 5.03058e-05
5874.87 4.65124e-05
5882.88 4.25073e-05
5890.89 3.86743e-05
5898.9 3.51903e-05
5906.91 3.18871e-05
5914.91 2.89346e-05
5922.92 2.63273e-05
5930.93 2.38472e-05
5938.94 2.04407e-05
5946.95 1.79954e-05
5954.95 1.63659e-05
5962.96 1.49894e-05
5970.97 1.33407e-05
5978.98 1.1654e-05
5986.99 1.12008e-05
5994.99 9.94542e-06
6003 8.63326e-06
6011.01 8.38255e-06
6019.02 9.35869e-06
6027.03 7.609e-06
6035.04 7.31199e-06
6043.04 7.18698e-06
6051.05 5.83444e-06
6059.06 6.06835e-06
6067.07 6.57517e-06
6075.08 6.22797e-06
6083.08 5.96897e-06
6091.09 6.42193e-06
6099.1 5.34701e-06
6107.11 5.20094e-06
6115.12 4.90329e-06
6123.12 4.40217e-06
6131.13 3.99677e-06
6139.14 4.65511e-06
6147.15 4.06167e-06
6155.16 3.31463e-06
6163.16 3.04559e-06
6171.17 3.24803e-06
6179.18 1.93698e-06
6187.19 2.21462e-06
6195.2 2.23103e-06
6203.2 2.13471e-06
6211.21 2.07958e-06
6219.22 1.20677e-06
6227.23 1.07711e-06
6235.24 1.67508e-06
6243.24 1.73508e-06
6251.25 8.1295e-07
6259.26 1.51609e-06
6267.27 1.29729e-06
6275.28 1.01705e-06
6283.28 8.49429e-07
6291.29 9.00081e-07
6299.3 1.36876e-06
6307.31 1.99147e-06
6315.32 2.08692e-06
6323.32 1.8429e-06
6331.33 1.54994e-06
6339.34 1.47934e-06
6347.35 1.46794e-06
6355.36 2.0119e-06
6363.36 2.17873e-06
6371.37 1.50121e-06
6379.38 1.03409e-06
6387.39 5.01255e-07
6395.4 8.94974e-07
6403.4 1.38512e-06
6411.41 1.4286e-06
6419.42 1.59166e-06
6427.43 8.46307e-07
6435.44 3.1052e-07
6443.44 3.99102e-07
6451.45 8.97025e-07
6459.46 3.24143e-07
6467.47 4.84385e-08
6475.48 2.30227e-07
6483.48 5.92272e-07
6491.49 8.27981e-07
6499.5 6.25848e-07
6507.51 4.32941e-07
6515.52 6.82756e-07
6523.52 9.1498e-07
6531.53 7.86685e-07
6539.54 2.93056e-07
6547.55 8.91713e-07
6555.56 9.91541e-07
6563.56 7.28541e-07
6571.57 4.06179e-07
6579.58 4.21613e-07
6587.59 1.54312e-07
6595.6 2.33924e-07
6603.6 4.87774e-07
6611.61 6.15125e-07
6619.62 1.52695e-07
6627.63 2.11494e-07
6635.64 -1.04069e-07
6643.64 -2.56065e-07
6651.65 -5.67123e-08
6659.66 -2.00691e-08
6667.67 -3.82723e-07
6675.68 -3.42196e-07
6683.68 -4.74071e-08
6691.69 1.59031e-07
6699.7 -3.19137e-07
6707.71 -3.83004e-07
6715.72 2.66768e-07
6723.72 4.13492e-07
6731.73 -1.41909e-07
6739.74 -4.94601e-09
6747.75 1.10024e-06
6755.76 4.33576e-07
6763.76 -1.20645e-07
6771.77 2.58021e-07
6779.78 7.01137e-07
6787.79 -3.56669e-07
6795.8 4.47904e-07
6803.8 4.53472e-07
6811.81 -8.45076e-07
6819.82 -9.22652e-07
6827.83 -1.38471e-07
6835.84 -7.01603e-07
6843.84 -8.78892e-07
6851.85 -4.46654e-07
6859.86 -1.15371e-06
6867.87 -1.1327e-06
6875.88 -4.8064e-07
6883.88 -6.2657e-07
6891.89 -1.41252e-06
6899.9 -8.07701e-07
6907.91 -4.21136e-07
6915.92 -3.65044e-07
6923.92 -5.27046e-07
6931.93 -5.3824e-07
6939.94 2.52503e-07
6947.95 -1.02983e-07
6955.96 -4.85462e-07
6963.96 -1.21105e-07
6971.97 4.83652e-07
6979.98 -4.8486e-07
6987.99 -4.62779e-07
6996 -1.71272e-07
7004 -4.87597e-07
7012.01 -1.15507e-06
7020.02 -8.21757e-07
7028.03 -2.52755e-07
7036.04 -7.51318e-07
7044.04 -1.03994e-06
7052.05 -7.6033e-07
7060.06 -4.06727e-07
7068.07 -3.58732e-07
7076.08 -8.09998e-07
7084.08 -9.2267e-07
7092.09 -5.76543e-07
7100.1 -2.83171e-07
7108.11 -8.75561e-07
7116.12 -7.64237e-07
7124.12 -7.37032e-07
7132.13 -6.75248e-07
7140.14 2.24982e-07
7148.15 -2.40955e-07
7156.16 -3.99126e-07
7164.16 -2.00866e-07
7172.17 -1.15006e-07
7180.18 -9.42892e-07
7188.19 -3.75566e-07
7196.2 -4.75269e-07
7204.2 -2.61396e-07
7212.21 6.92442e-08
7220.22 -4.53668e-07
7228.23 -2.31458e-08
7236.24 1.73954e-07
7244.24 -7.64505e-08
7252.25 -2.97193e-07
7260.26 4.14578e-07
7268.27 1.29541e-06
7276.28 6.29024e-07
7284.28 2.08702e-07
7292.29 3.59881e-07
7300.3 5.1913e-07
7308.31 1.26803e-06
7316.32 9.23314e-07
7324.32 7.71942e-07
7332.33 9.87078e-07
7340.34 1.09492e-06
7348.35 1.10269e-06
7356.36 1.31084e-06
7364.36 1.5505e-06
7372.37 1.87318e-06
7380.38 2.44988e-06
7388.39 3.40903e-06
7396.4 3.71302e-06
7404.4 4.23499e-06
7412.41 4.89864e-06
7420.42 5.19857e-06
7428.43 5.91457e-06
7436.44 6.42301e-06
7444.44 6.71412e-06
7452.45 6.88905e-06
7460.46 7.14433e-06
7468.47 8.07659e-06
7476.48 8.36246e-06
7484.48 8.55826e-06
7492.49 8.77414e-06
7500.5 8.95434e-06
7508.51 9.51596e-06
7516.52 8.6161e-06
7524.52 7.91724e-06
7532.53 7.44723e-06
7540.54 6.62395e-06
7548.55 6.16571e-06
7556.56 6.04702e-06
7564.56 5.2703e-06
7572.57 4.1412e-06
7580.58 3.4524e-06
7588.59 3.17055e-06
7596.6 3.09633e-06
7604.6 2.89343e-06
7612.61 2.57476e-06
7620.62 2.27098e-06
7628.63 1.88945e-06
7636.64 1.58467e-06
7644.64 1.89422e-06
7652.65 2.19411e-06
7660.66 1.63734e-06
7668.67 1.30675e-06
7676.68 1.11521e-06
7684.68 1.38396e-06
7692.69 1.65005e-06
7700.7 1.32789e-06
7708.71 1.1166e-06
7716.72 9.47418e-07
7724.72 8.88545e-07
7732.73 1.08314e-06
7740.74 1.54294e-06
7748.75 1.18137e-06
7756.76 1.0599e-06
7764.76 7.08249e-07
7772.77 5.20897e-07
7780.78 9.07156e-07
7788.79 5.55167e-07
7796.8 9.32036e-07
7804.8 7.63981e-07
7812.81 3.33576e-07
7820.82 3.20781e-07
7828.83 1.02734e-06
7836.84 4.11167e-07
7844.84 2.17489e-07
7852.85 1.80247e-07
7860.86 -2.18315e-07
7868.87 2.7686e-07
7876.88 2.91939e-07
7884.88 9.12648e-08
7892.89 -1.55233e-07
7900.9 -3.2768e-07
7908.91 -4.85805e-07
7916.92 4.37542e-10
7924.92 -3.42399e-08
7932.93 -4.28154e-07
7940.94 -7.1066e-07
7948.95 -5.00223e-07
7956.96 -4.75047e-07
7964.96 -4.236e-07
7972.97 -7.29495e-07
7980.98 -1.49537e-06
7988.99 -8.80512e-07
7997 6.95472e-05
8005.01 9.922e-05
8013.01 9.86665e-05
8021.02 9.80752e-05
8029.03 9.80629e-05
8037.04 9.73596e-05
8045.05 9.68768e-05
8053.05 9.66836e-05
8061.06 9.62859e-05
8069.07 9.34915e-05
8077.08 9.43639e-05
8085.09 9.55879e-05
8093.09 9.52933e-05
8101.1 9.32081e-05
8109.11 9.41496e-05
8117.12 9.2931e-05
8125.13 9.39861e-05
8133.13 9.48027e-05
8141.14 9.27532e-05
8149.15 8.88078e-05
8157.16 8.93566e-05
8165.17 8.94885e-05
8173.17 8.8671e-05
8181.18 8.75872e-05
8189.19 8.8724e-05
8197.2 8.93309e-05
8205.21 8.98959e-05
8213.21 8.88423e-05
8221.22 8.5611e-05
8229.23 8.36216e-05
8237.24 8.24259e-05
8245.25 8.25639e-05
8253.25 8.08168e-05
8261.26 7.69895e-05
8269.27 8.10382e-05
8277.28 7.89243e-05
8285.29 7.88342e-05
