A noramlised
5280.000000 0.013598876412507
5290.000000 0.0126591448
5300.000000 0.0152602802
5310.000000 0.0158769438
5320.000000 0.0211957648
5330.000000 0.013669351872646
5340.000000 0.011102172945733
5350.000000 0.019954391692763
5360.000000 0.016998130898822
5370.000000 0.009217448423615
5380.000000 0.013771429490825
5390.000000 0.0064725398329958
5400.000000 0.0065068227752606
5410.000000 0.012596120322613
5420.000000 0.017681962404777
5430.000000 0.027158198
5440.000000 0.044004430222232
5450.000000 0.058625655305704
5460.000000 0.073095622953976
5470.000000 0.0914483331
5480.000000 0.1081689255
5490.000000 0.1254484746
5500.000000 0.1431279774
5510.000000 0.1599292944
5520.000000 0.1760697297
5530.000000 0.1919153979
5540.000000 0.2076187788
5550.000000 0.2229731685
5560.000000 0.23827083665785
5570.000000 0.25355130069111
5580.000000 0.26727763087457
5590.000000 0.27961453168503
5600.000000 0.29106785324905
5610.000000 0.30059844977873
5620.000000 0.3083393579
5630.000000 0.31505462425652
5640.000000 0.3200696335
5650.000000 0.32417292650584
5660.000000 0.3273613638
5670.000000 0.33006476187831
5680.000000 0.3328893906
5690.000000 0.335661524
5700.000000 0.33846542717816
5710.000000 0.3416642244
5720.000000 0.34575120413611
5730.000000 0.350743812823
5740.000000 0.3555886038
5750.000000 0.359715380296
5760.000000 0.36532061148251
5770.000000 0.3701475099
5780.000000 0.37504609164472
5790.000000 0.37891155206888
5800.000000 0.38205551829251
5810.000000 0.38501778578046
5820.000000 0.38566026468305
5830.000000 0.3849173733
5840.000000 0.3862638159
5850.000000 0.38751253322981
5860.000000 0.3866649968
5870.000000 0.3872842788
5880.000000 0.38762291301231
5890.000000 0.38815682437624
5900.000000 0.3894891037
5910.000000 0.39112002486216
5920.000000 0.39443411665651
5930.000000 0.39662818943801
5940.000000 0.39998974622589
5950.000000 0.40259286223923
5960.000000 0.40579677949159
5970.000000 0.40805819857794
5980.000000 0.40800674577171
5990.000000 0.40837383973182
6000.000000 0.40891786154849
6010.000000 0.406532767397
6020.000000 0.40258076823481
6030.000000 0.39871323751787
6040.000000 0.39271629590783
6050.000000 0.38702805571417
6060.000000 0.3824134725
6070.000000 0.3781014475
6080.000000 0.3747253644
6090.000000 0.3708196332
6100.000000 0.3686813588
6110.000000 0.3666779088
6120.000000 0.3654851541451
6130.000000 0.3660985088
6140.000000 0.36663544290726
6150.000000 0.3679410105
6160.000000 0.3698899194
6170.000000 0.3723292158
6180.000000 0.3742816119
6190.000000 0.3769545507
6200.000000 0.379372488
6210.000000 0.3812311656
6220.000000 0.38379938681432
6230.000000 0.38665377023108
6240.000000 0.38851495898596
6250.000000 0.39023386872682
6260.000000 0.39169071844605
6270.000000 0.391772619
6280.000000 0.3917114451
6290.000000 0.39173880422325
6300.000000 0.39125523360014
6310.000000 0.3904967856
6320.000000 0.3896019616
6330.000000 0.3881255103
6340.000000 0.38747095298065
6350.000000 0.3870700964
6360.000000 0.38706545914735
6370.000000 0.3871811676
6380.000000 0.3880947714
6390.000000 0.389483379
6400.000000 0.391400061
6410.000000 0.39449453701407
6420.000000 0.39637032679305
6430.000000 0.39915299464991
6440.000000 0.40214504152255
6450.000000 0.40460066582447
6460.000000 0.407243132
6470.000000 0.40935961351217
6480.000000 0.4112875668
6490.000000 0.4128432264
6500.000000 0.4141437366
6510.000000 0.41617737412582
6520.000000 0.416956525
6530.000000 0.41724629513211
6540.000000 0.41832545296101
6550.000000 0.4190071528984
6560.000000 0.41930629054709
6570.000000 0.41978600001717
6580.000000 0.41981959590346
6590.000000 0.41987138687137
6600.000000 0.41975692765098
6610.000000 0.41981528839012
6620.000000 0.4185932024
6630.000000 0.41715912958823
6640.000000 0.41523959463328
6650.000000 0.41403366112364
6660.000000 0.41163856688642
6670.000000 0.40919237400514
6680.000000 0.40713170123398
6690.000000 0.40432485743169
6700.000000 0.4007061872
6710.000000 0.3975014895
6720.000000 0.3938848348
6730.000000 0.38985343801967
6740.000000 0.3848570336
6750.000000 0.3806204872
6760.000000 0.37566872126468
6770.000000 0.3711658982
6780.000000 0.3672522468
6790.000000 0.3640270816
6800.000000 0.3608899841
6810.000000 0.35832729927075
6820.000000 0.35671420383362
6830.000000 0.35515646580315
6840.000000 0.354161782
6850.000000 0.35386260683289
6860.000000 0.3548871360273
6870.000000 0.35610692601673
6880.000000 0.35815685806709
6890.000000 0.36122550864664
6900.000000 0.3648894234
6910.000000 0.3684357438
6920.000000 0.3733717169
6930.000000 0.37776428254989
6940.000000 0.38309202
6950.000000 0.387635247
6960.000000 0.39258344904865
6970.000000 0.3975475551101
6980.000000 0.4014639301
6990.000000 0.4044527722
7000.000000 0.40796088107548
7010.000000 0.4103579568
7020.000000 0.4124010096
7030.000000 0.41380138385567
7040.000000 0.41407778576098
7050.000000 0.41352725417451
7060.000000 0.41240051781262
7070.000000 0.41149529728081
7080.000000 0.40980966160234
7090.000000 0.40944791428124
7100.000000 0.4099910075
7110.000000 0.4105938515
7120.000000 0.411198979
7130.000000 0.41176072
7140.000000 0.4125608584
7150.000000 0.4126823406
7160.000000 0.4125229523
7170.000000 0.4109651486
7180.000000 0.4074718503
7190.000000 0.4015968615
7200.000000 0.3932940555
7210.000000 0.3823003731
7220.000000 0.3687847933
7230.000000 0.3525107455
7240.000000 0.3340632624
7250.000000 0.3139086347
7260.000000 0.2916499901
7270.000000 0.2691067694911
7280.000000 0.246271008
7290.000000 0.223614192
7300.000000 0.201860712
7310.000000 0.181684536
7320.000000 0.163306368
7330.000000 0.147056808
7340.000000 0.132491256
7350.000000 0.11976575077198
